master,pair,station,lagtime,coefficient,phase,ttmaster,ttpair,dt
414,514,NIL08,0.002402474,0.927858894,P,3.05,3.17,0.12
414,514,NIL06,-0.053874921,0.724859449,S,6.34,6.32,-0.02
414,514,NIL06,-0.032950963,0.533404404,P,3.87,3.71,-0.16
414,514,NIL03,-0.024163786,0.807351317,P,3.41,3.41,0
414,514,NIL04,-0.05076466,0.834050279,S,4.19,3.76,-0.43
414,514,NIL04,-0.000568085,0.809983491,P,2.03,2.03,0
414,514,NIL02,-0.118616178,0.819512803,S,2.35,2.28,-0.07
414,514,NIL02,0.05456736,0.66625507,P,3.69,3.82,0.13
414,442,SIL04,-0.040095841,0.658122675,P,2.17,2.19,0.02
414,442,SIL08,0.102513333,0.335302023,P,3.69,3.82,0.13
414,442,SIL05,-0.168330712,0.571588159,P,2.35,2.31,-0.04
414,442,SIL07,0.14318714,0.447324403,P,2.03,2.08,0.05
414,442,SIL02,0.01458049,0.331111879,P,2.19,2.32,0.13
414,442,SIL03,-0.191206006,0.62001444,S,2.52,2.49,-0.03
414,442,SIL03,-0.001779504,0.645055685,P,3.46,3.71,0.25
414,442,NIL10,-0.04335638,0.655473268,S,2.28,2.28,0
414,442,NIL10,0.006019295,0.834273549,P,2.24,2.35,0.11
414,442,NIL09,0.069470083,0.479983291,S,2.9,2.65,-0.25
414,442,NIL09,0.187715264,0.53050685,P,4.52,4.41,-0.11
414,442,NIL08,-0.128458667,0.717047056,S,2.79,2.78,-0.01
414,442,NIL08,0.002967562,0.909473283,P,3.05,3.17,0.12
414,442,NIL06,-0.13920789,0.485181628,P,6.34,6.32,-0.02
414,442,NIL06,-0.016279009,0.539864341,S,3.87,3.71,-0.16
414,442,NIL03,0.081033459,0.689672698,P,3.41,3.41,0
414,442,NIL03,0.063518612,0.52973256,S,4.19,3.76,-0.43
414,442,NIL04,-0.096332013,0.605855003,S,2.03,2.03,0
414,442,NIL04,-0.010319997,0.690737416,P,2.35,2.28,-0.07
414,442,NIL02,-0.02779688,0.736398338,S,3.69,3.82,0.13
414,442,NIL02,0.017102319,0.753483808,P,2.19,2.16,-0.03
415,434,NIL06,0.018352821,0.643290846,P,2.17,2.19,0.02
415,434,NIL03,0.176510798,0.52417987,P,3.69,3.82,0.13
415,434,NIL03,-0.025296473,0.69404749,S,2.35,2.31,-0.04
415,434,NIL09,-0.039068373,0.825770569,P,2.03,2.08,0.05
415,434,NIL08,-0.127267271,0.530276469,S,2.19,2.32,0.13
415,434,NIL08,0.070900627,0.686501857,P,2.52,2.49,-0.03
415,434,NIL04,0.096094172,0.621915527,P,3.46,3.71,0.25
415,527,NIL06,0.021598079,0.462412177,P,2.17,2.19,0.02
415,527,NIL06,-0.008351057,0.868259909,S,3.69,3.82,0.13
415,527,NIL09,-0.015375833,0.865552811,P,2.35,2.31,-0.04
